1,Bulbasaur,Grass,Poison
2,Ivysaur,Grass,Poison
3,Venusaur,Grass,Poison
3.1,Venusaur (Mega),Grass,Poison
4,Charmander,Fire,
5,Charmeleon,Fire,
6,Charizard,Fire,Flying
6.1,Charizard (Mega X),Fire,Dragon
6.2,Charizard (Mega Y),Fire,Flying
7,Squirtle,Water,
8,Wartortle,Water,
9,Blastoise,Water,
9.1,Blastoise (Mega),Water,
10,Caterpie,Bug,
11,Metapod,Bug,
12,Butterfree,Bug,Flying
13,Weedle,Bug,Poison
14,Kakuna,Bug,Poison
15,Beedrill,Bug,Poison
15.1,Beedrill (Mega),Bug,Poison
16,Pidgey,Normal,Flying
17,Pidgeotto,Normal,Flying
18,Pidgeot,Normal,Flying
18.1,Pidgeot (Mega),Normal,Flying
19,Rattata,Normal,
19.1,Rattata (Alolan),Dark,Normal
20,Raticate,Normal,
20.1,Raticate (Alolan),Dark,Normal
21,Spearow,Normal,Flying
22,Fearow,Normal,Flying
23,Ekans,Poison,
24,Arbok,Poison,
25,Pikachu,Electric,
26,Raichu,Electric,
26.1,Raichu (Alolan),Electric,Psychic
27,Sandshrew,Ground,
27.1,Sandshrew (Alolan),Ice,Steel
28,Sandslash,Ground,
28.1,Sandslash (Alolan),Ice,Steel
29,Nidoran (Female),Poison,
30,Nidorina,Poison,
31,Nidoqueen,Poison,Ground
32,Nidoran (Male),Poison,
33,Nidorino,Poison,
34,Nidoking,Poison,Ground
35,Clefairy,Fairy,
36,Clefable,Fairy,
37,Vulpix,Fire,
37.1,Vulpix (Alolan),Ice,
38,Ninetales,Fire,
38.1,Ninetales (Alolan),Ice,Fairy
39,Jigglypuff,Normal,Fairy
40,Wigglytuff,Normal,Fairy
41,Zubat,Poison,Flying
42,Golbat,Poison,Flying
43,Oddish,Grass,Poison
44,Gloom,Grass,Poison
45,Vileplume,Grass,Poison
46,Paras,Bug,Grass
47,Parasect,Bug,Grass
48,Venonat,Bug,Poison
49,Venomoth,Bug,Poison
50,Diglett,Ground,
50.1,Diglett (Alolan),Ground,Steel
51,Dugtrio,Ground,
51.1,Dugtrio (Alolan),Ground,Steel
52,Meowth,Normal,
52.1,Meowth (Alolan),Dark,
52.2,Meowth (Galarian),Steel,
53,Persian,Normal,
53.1,Persian (Alolan),Dark,
54,Psyduck,Water,
55,Golduck,Water,
56,Mankey,Fighting,
57,Primeape,Fighting,
58,Growlithe,Fire,
58.1,Growlithe (Hisuian),Fire,Rock
59,Arcanine,Fire,
59.1,Arcanine (Hisuian),Fire,Rock
60,Poliwag,Water,
61,Poliwhirl,Water,
62,Poliwrath,Water,Fighting
63,Abra,Psychic,
64,Kadabra,Psychic,
65,Alakazam,Psychic,
65.1,Alakazam (Mega),Psychic,
66,Machop,Fighting,
67,Machoke,Fighting,
68,Machamp,Fighting,
69,Bellsprout,Grass,Poison
70,Weepinbell,Grass,Poison
71,Victreebel,Grass,Poison
72,Tentacool,Water,Poison
73,Tentacruel,Water,Poison
74,Geodude,Rock,Ground
74.1,Geodude (Alolan),Rock,Electric
75,Graveler,Rock,Ground
75.1,Graveler (Alolan),Rock,Electric
76,Golem,Rock,Ground
76.1,Golem (Alolan),Rock,Electric
77,Ponyta,Fire,
77.1,Ponyta (Galarian),Psychic,
78,Rapidash,Fire,
78.1,Rapidash (Galarian),Psychic,Fairy
79,Slowpoke,Water,Psychic
79.1,Slowpoke (Galarian),Psychic,
80,Slowbro,Water,Psychic
80.1,Slowbro (Mega),Water,Psychic
80.2,Slowbro (Galarian),Poison,Psychic
81,Magnemite,Electric,Steel
82,Magneton,Electric,Steel
83,Farfetch'd,Normal,Flying
83.1,Farfetch'd (Galarian),Fighting,
84,Doduo,Normal,Flying
85,Dodrio,Normal,Flying
86,Seel,Water,
